lang,yyyy,n_path,n_month,distance_mean_weighted,distance_mean,n_contrib,distance_ratio,contrib_ratio
pt,2007,32004,12,3139.6456315506,3593.856504213,59582,0.873614633158019,1
pt,2008,18824,8,3055.28394790373,3438.87662956371,33527,0.888454072948629,1
ru,2002,4,1,3108.53028856128,3393.41323934964,5,0.916048258583749,1
ru,2003,243,12,2377.09490062748,2736.29687900064,368,0.868726971429961,1
ru,2004,825,12,3471.97638647253,3710.77034345383,1096,0.935648413973513,1
ru,2005,3894,12,3222.39657352493,3605.62814504416,6248,0.893712952056362,1
ru,2006,10014,12,2699.90756219459,3031.27475171045,17093,0.890683881647853,1
ru,2007,22054,12,2761.09845577554,3081.73460477891,38390,0.895955950098312,1
ru,2008,19906,8,2343.46837356268,2879.53672811861,36728,0.813835208517665,1
sk,2004,98,11,1958.27549031048,2160.59706518355,139,0.906358488524614,1
sk,2005,994,12,1233.80988333837,1618.14573816471,1701,0.762483782664568,1
sk,2006,3519,12,1228.37802187565,1563.11757603538,6111,0.785851327314259,1
sk,2007,3940,12,1548.76441032034,1668.30622870595,7062,0.928345398267597,1
sk,2008,2811,8,1267.2111212447,1514.77899521432,5075,0.836565020539784,1
sv,2002,25,1,1651.22107686148,1847.6350627376,32,0.893694382707211,1
sv,2003,998,12,3261.66217684243,3696.67060645426,1433,0.882324265285545,1
sv,2004,2986,12,3649.29548721992,3662.813572449,4212,0.996309371208308,1
sv,2005,7655,12,3559.0460319919,3551.39771333468,11282,1.00215360803678,1
sv,2006,14660,12,3587.31616975808,3595.35457687638,24176,0.997764224099064,1
sv,2007,15523,12,3691.99307101049,3727.78572342621,22291,0.9903984147504,1
sv,2008,8603,8,3420.1167274739,3572.33673242877,12125,0.957389233894708,1
tr,2003,1,1,9074.17966403133,9074.17966403133,2,1,2
tr,2004,208,12,3054.18243111508,3455.22665385493,325,0.88393113884659,1
tr,2005,1590,12,3091.5831807636,3167.91657852776,2556,0.975904227314081,1
tr,2006,6435,12,2363.89765197499,2543.28328524029,10430,0.929466908265254,1
tr,2007,10429,12,2237.96740143607,2416.62795297569,18341,0.926070311601075,1
tr,2008,8252,8,2495.77793043084,2724.62263168753,15791,0.916008661678422,1
zh,2002,2,1,6816.35733877493,6816.35733877493,2,1,1
zh,2003,319,11,4464.15313956931,4807.15429842038,512,0.928647774221898,1
zh,2004,1784,12,3425.53628495483,3910.62532501837,3300,0.875956145182162,1
zh,2005,5894,12,3645.37934186628,4240.33980844924,12029,0.859690380144193,2
zh,2006,6850,12,4594.06776820649,5028.33469765503,13630,0.913636033486183,1
zh,2007,9115,12,4233.89282837378,5301.38813907464,18993,0.798638529627225,2
zh,2008,5541,8,4153.39646435715,4905.58636108428,12290,0.846666669107245,2
