id	alpha2	name
1	ca	Catalan
2	cs	Czech
3	de	German
4	en	English
5	eo	Esperanto
6	es	Spanish
7	fi	Finnish
8	fr	French
9	it	Italian
10	ja	Japanese
11	nl	Dutch
12	pl	Polish
13	pt	Portuguese
14	ru	Russian
15	sv	Swedish
16	no	Norwegian
17	sk	Slovak
18	da	Danish
19	tr	Turkish
20	zh	Chinese
21	is	Icelandic
