lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
cs,2006,1,377,1950.31299343601,2320.04554913743,677,219
cs,2006,2,242,1761.58736017755,2070.10647623335,372,790
cs,2006,3,392,1883.53122378643,2263.3531707253,709,310
cs,2006,4,334,3398.94356384162,2689.25322298332,518,193
cs,2006,5,367,2051.57338789103,2176.33618270767,542,936
cs,2006,6,377,1735.38692766358,1776.79704005427,653,1301
cs,2006,7,352,1931.67597456868,2595.21055339631,595,436
cs,2006,8,574,1348.91418185077,1637.08974420041,832,1133
cs,2006,9,519,1646.71903731093,2005.59943461259,828,384
cs,2006,10,609,1396.09674480233,1466.24497755478,973,724
cs,2006,11,726,1301.24839781896,1562.42379820229,1153,633
cs,2006,12,780,1365.78169776491,1492.6973781796,1290,718
cs,2007,1,798,1396.64841992856,1558.86502251503,1250,1095
cs,2007,2,735,1577.28565912162,1910.45775198214,1178,1188
cs,2007,3,936,1421.8394023981,1549.51008313887,1469,852
cs,2007,4,744,1456.55547162303,1712.46158674302,1169,980
cs,2007,5,959,2050.97444602035,2495.96935788166,1554,396
cs,2007,6,638,1577.93127937046,1755.57654979243,986,581
cs,2007,7,602,1312.3817247618,1598.83764633968,950,904
cs,2007,8,631,1233.06083703963,1491.68357177094,978,665
cs,2007,9,628,1360.2948988739,1718.28990302327,1021,951
cs,2007,10,744,1834.66880890895,1939.59192342275,1046,68
cs,2007,11,677,1484.67251938893,1648.54916633087,1076,1151
cs,2007,12,631,1767.34514642976,1946.1377356767,987,1196
cs,2008,1,836,1602.39075916203,1895.86959321591,1292,156
cs,2008,2,743,1516.15438752407,1743.05145474105,1136,888
cs,2008,3,859,1982.9411028966,2223.71783568403,1260,28
cs,2008,4,736,1937.47342574996,2054.11253737314,1191,106
cs,2008,5,780,1860.75173657021,1940.27139880609,1186,709
cs,2008,6,599,1444.65953061787,1591.59543462368,918,1361
cs,2008,7,587,1271.24214257074,1543.89712484531,880,1173
cs,2008,8,203,1122.89735432376,1218.92426446154,294,352
da,2002,10,4,2586.86197749439,2586.86197749439,4,263
da,2002,11,5,2831.98373368055,2831.98373368055,5,1346
da,2002,12,20,4464.24003612157,4850.78663735182,22,262
da,2003,1,8,1525.68855852145,1672.16109058133,9,1217
da,2003,2,68,4361.06723051792,4543.72214516747,75,850
da,2003,3,72,5549.24524745355,5629.39450219085,80,1184
da,2003,4,19,3819.42232101636,4211.04971896044,23,1287
da,2003,5,46,4897.33379626426,5202.52755714674,53,702
da,2003,6,24,2770.22513525631,2634.50456312855,25,205
da,2003,7,33,2834.09274874449,3039.40939907464,39,39
da,2003,8,47,2256.73216746468,2494.35261351329,64,370
da,2003,9,133,4017.41888092445,4817.27016707558,175,1141
