lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,distance_ratio,contrib_ratio
de,2003,9,787,2564.68666723221,2581.74437293823,1511,0.99339295327422,1.9199491740787802
de,2003,10,926,1907.54932057346,2273.47155573843,1502,0.83904692616833,1.6220302375809935
de,2003,11,1445,1719.02760356006,1942.22850028475,2210,0.885080001301615,1.5294117647058824
de,2003,12,1510,1831.86491681674,1955.70684189432,2454,0.936676641700742,1.6251655629139073
de,2004,1,1512,2104.76090366968,2229.88423108613,2358,0.94388797154931,1.5595238095238095
de,2004,2,2058,1914.0606657746,2150.45048418846,3383,0.890074279713968,1.6438289601554908
de,2004,3,5094,1753.47676524742,1898.87746098562,9694,0.92342807857505,1.9030231645072634
de,2004,4,3356,1862.04654086465,2038.76641179985,5589,0.91332019700129,1.6653754469606675
de,2004,5,2691,1963.7800879809,2145.36003130128,4243,0.915361552060685,1.5767372723894463
de,2004,6,4514,1762.04817522479,1985.33226655141,7728,0.887533137355149,1.7120070890562694
de,2004,7,6042,1522.60163021745,1634.91431150032,9616,0.931303628274069,1.5915259847732539
de,2004,8,5720,1994.0955146357,2222.1601212303,9506,0.897368058937028,1.6618881118881119
de,2004,9,6317,1768.86329165392,1883.77815335789,10557,0.938997667268232,1.6712046857685610
de,2004,10,7061,1837.31006237515,1971.54790242611,12409,0.931912463356445,1.7573998017278006
de,2004,11,7459,1961.83741739137,2072.14055806947,13563,0.946768504555084,1.8183402600884837
de,2004,12,6206,2204.03602477104,2325.12160328881,10620,0.947922905044406,1.7112471801482436
de,2005,1,7107,2194.21048188822,2402.61576932348,12166,0.913259002918333,1.7118334036865063
de,2005,2,6909,2022.12769578821,2230.67510060799,11897,0.906509287361957,1.7219568678535244
de,2005,3,7474,2034.72141175914,2211.65893412587,12431,0.919997826230535,1.6632325394701632
de,2005,4,9647,2085.80766095373,2260.90682742086,16399,0.922553568177389,1.6999067067482119
de,2005,5,11043,1934.57818170559,2095.23156038811,18455,0.923324284666289,1.67119442180566874943
de,2005,6,12835,1847.97390034166,1898.71433147967,21894,0.973276426950193,1.7058044409816907
de,2005,7,12363,1673.42973918725,1871.44279448672,23012,0.894192301318097,1.8613605112027825
de,2005,8,16021,1777.51874288971,1864.06636595869,29379,0.953570524821704,1.8337806628799700
de,2005,9,12893,1731.15107418935,1839.82472731066,21931,0.940932605422603,1.7010005429302722
de,2005,10,14521,1770.16723523161,1935.53413384023,25549,0.914562654454192,1.7594518283864748
de,2005,11,14058,1870.42189896439,2031.47039985114,24847,0.920723186073222,1.7674633660549154
de,2005,12,15909,1815.8148418158,2016.93194599776,29585,0.900285627097614,1.8596391979382739
de,2006,1,20252,1765.26527766727,1899.71005114797,37768,0.92922879288897,1.8649022318783330
de,2006,2,17155,1760.80325290708,1838.92668250482,30398,0.957516832867243,1.7719615272515302
de,2006,3,18502,1781.23015600253,1918.94348971118,33186,0.928234815435147,1.7936439303859042
de,2006,4,17171,1752.05418565981,1851.56987451603,30151,0.946253344134672,1.7559256886611147
de,2006,5,19177,1939.84769250371,2041.11246400108,34596,0.950387461110857,1.8040360848933618
de,2006,6,17840,1831.00337578254,1887.91328418779,30962,0.969855655510294,1.7355381165919283
de,2006,7,18988,1644.90748156664,1791.07893811974,32862,0.918389160052014,1.7306720033705498
de,2006,8,21557,1513.96619555028,1673.36365758403,36345,0.904744278799571,1.6859952683583059
de,2006,9,19983,1589.66271311714,1696.03944766616,33497,0.937279327615048,1.6762748336085673
de,2006,10,20608,1539.89750674834,1710.04201286092,35280,0.900502733363884,1.7119565217391304
de,2006,11,21648,1669.0132721207,1814.08570166569,37228,0.920030002214454,1.7196969696969697
de,2006,12,19670,1624.45708466303,1779.81965196207,33799,0.91270881455446,1.7183019827147941
de,2007,1,24207,1563.40482614605,1718.17428741882,40487,0.90992214095738,1.6725327384640806
de,2007,2,21323,1562.01104741001,1695.18478631676,36211,0.921439986966789,1.6982131970173053
de,2007,3,24222,1796.33962778622,2041.85455991964,39982,0.879758854057125,1.6506481710841384
de,2007,4,21824,1581.54875453589,1715.35192874278,35837,0.921996663212453,1.6420912756598240
de,2007,5,21777,1691.22506163131,1848.70529535904,36906,0.914815934090164,1.6947237911558066
de,2007,6,18146,1488.74782407524,1660.62387889357,29402,0.896499106749659,1.6203019949300121
de,2007,7,16468,1533.1402248614,1624.35833165634,25620,0.943843605799754,1.5557444741316493
de,2007,8,14782,1396.37123260411,1564.23213494116,21951,0.892687984994399,1.4849817345420106
de,2007,9,14080,1508.97974270367,1623.46028747954,21183,0.929483618626976,1.5044744318181818
de,2007,10,14228,1522.40899048258,1652.01469820694,20806,0.92154687977956,1.4623278043294911
de,2007,11,14692,1572.04348238256,1760.33616465237,21178,0.893035951853555,1.4414647427171250
de,2007,12,13802,1401.78877054619,1601.07140134941,20756,0.875531702936382,1.5038400231850456
de,2008,1,16511,1658.50938621601,1808.86483666476,24474,0.916878559745798,1.4822845375810066
de,2008,2,14697,1420.50194467352,1568.90141846641,21596,0.905411855680548,1.4694155269782949
de,2008,3,15705,1550.22562802361,1651.64642907507,23080,0.938594120832348,1.4695956701687361
de,2008,4,13964,1591.4692109879,1725.78883462663,20219,0.922169143209345,1.4479375537095388
de,2008,5,13391,1506.9669383222,1616.35174131351,18849,0.932326114300825,1.40758718542304532895
de,2008,6,11224,1420.83982344241,1550.89239233401,15501,0.916143396192769,1.38105844618674269423
de,2008,7,12677,1232.94084018189,1385.03677418817,18476,0.890186356896238,1.45744261260550603455
de,2008,8,4788,1365.50317336157,1468.93481726945,6848,0.929587315453416,1.4302422723475355
en,2002,2,143,4485.8058276464,4796.52048946645,230,0.935220820488017,1.6083916083916084
en,2002,3,257,3511.21159692357,3789.53629273688,438,0.926554418716941,1.7042801556420233
en,2002,4,185,3162.93601380683,4038.67729698941,314,0.783161362301616,1.6972972972972973
en,2002,5,246,3584.22947778156,4316.65660761758,455,0.830325366038266,1.8495934959349593
en,2002,6,373,3516.23831950848,3931.93468277687,577,0.894276889926663,1.5469168900804290
en,2002,7,357,4528.87984524098,4243.4252299099,581,1.0672698586319,1.6274509803921569
en,2002,8,763,3837.12733441342,3468.8968384195,1228,1.10615204577882,1.6094364351245085
en,2002,9,880,4053.32058628468,3857.82755774678,1370,1.05067438230756,1.5568181818181818
en,2002,10,1254,3085.9459328466,3019.23294000128,1619,1.02209600722139,1.2910685805422648
en,2002,11,849,3920.48755151792,3782.81763063747,1140,1.03639348610555,1.3427561837455830
en,2002,12,679,4537.37974693495,4360.8698338244,1057,1.04047584996495,1.5567010309278351
en,2003,1,777,3856.69429303494,3917.1343650266,1258,0.984570334749994,1.6190476190476190
en,2003,2,573,3447.42812676869,3648.73215831919,984,0.944829046689128,1.7172774869109948
en,2003,3,556,3657.0940792082,3992.85097284761,920,0.915910487037299,1.6546762589928058
en,2003,4,875,4766.20893973493,5227.80353107445,1379,0.911703913776452,1.5760000000000000
en,2003,5,857,3929.35215194931,4339.67974563068,1266,0.905447494346903,1.4772462077012835
en,2003,6,928,4224.41598488709,3814.19814601201,1444,1.10755021715481,1.5560344827586207
en,2003,7,1353,4304.88151977765,4528.23325866722,2002,0.950675743467485,1.4796747967479675
en,2003,8,1491,4616.1224298753,4254.38590585633,2390,1.08502673053731,1.6029510395707579
en,2003,9,1519,3479.22348672276,3753.56750623243,2510,0.926911126800264,1.6524028966425280
en,2003,10,1614,3534.4372917776,3566.48123300939,2534,0.991015250287815,1.5700123915737299
en,2003,11,1658,3711.58907560902,3795.14252236285,2414,0.977984108301207,1.4559710494571773
en,2003,12,1707,3463.65650377259,3552.27067198662,2635,0.975054218443193,1.5436438195664909
en,2004,1,1818,3878.12671783581,3707.46870463538,2899,1.04603087087075,1.5946094609460946
en,2004,2,2796,3985.05875387658,3917.68758484442,4753,1.01719666705757,1.6999284692417740
en,2004,3,4492,3617.46621549272,3799.55400844662,6923,0.952076535154098,1.5411843276936776
en,2004,4,3965,3590.52745440967,3791.32401549359,6251,0.947037879046121,1.5765447667087011
en,2004,5,4215,3782.82527888024,3955.18711562853,6843,0.956421319217181,1.6234875444839858
en,2004,6,4171,3791.80353176175,3807.98474207386,6742,0.995750715560038,1.6163989450970990
en,2004,7,4891,3594.28519235458,3532.00188569836,8223,1.01763399586745,1.6812512778572889
en,2004,8,5060,3434.21894788283,3560.82220718389,7560,0.964445498276876,1.4940711462450593
en,2004,9,6252,3463.01669680704,3838.82011716125,10103,0.90210444644848,1.6159628918746001
en,2004,10,6652,3531.91464378706,3784.85609680795,11157,0.933170126802386,1.6772399278412508
en,2004,11,8230,3632.50979560305,4029.72544635679,14175,0.901428606975481,1.7223572296476306
en,2004,12,9177,3858.15046581765,4169.42959413391,15127,0.925342514776073,1.6483600305110603
en,2005,1,8899,3994.37609914147,4346.71396965836,14507,0.918941556086658,1.6301831666479380
en,2005,2,8562,4028.28356904741,4381.23551880879,14028,0.919440087562939,1.6384022424667134
en,2005,3,10813,4016.76873061304,4366.06557292646,18424,0.919997343952098,1.70387496531952279663
en,2005,4,13989,4047.26396445218,4403.62348188558,24408,0.919075843132526,1.7447994853098863
en,2005,5,14941,3953.73665185565,4321.70184244601,26350,0.914856414439247,1.7636035071280369
en,2005,6,16532,3502.00447420996,3802.08458198501,29140,0.92107484688876,1.7626421485603678
